statement_id,bank,pdf_path,ground_truth_path,transaction_count,opening_balance,closing_balance,amount_style
HDFC_001,HDFC,pdfs/HDFC/HDFC_001.pdf,ground_truth/HDFC/HDFC_001.json,28,120514.39,170872.39,separate_dr_cr
HDFC_002,HDFC,pdfs/HDFC/HDFC_002.pdf,ground_truth/HDFC/HDFC_002.json,51,80537.52,71107.25,separate_dr_cr
HDFC_003,HDFC,pdfs/HDFC/HDFC_003.pdf,ground_truth/HDFC/HDFC_003.json,48,77114.51,-31194.11,separate_dr_cr
HDFC_004,HDFC,pdfs/HDFC/HDFC_004.pdf,ground_truth/HDFC/HDFC_004.json,59,66063.11,-10443.09,separate_dr_cr
HDFC_005,HDFC,pdfs/HDFC/HDFC_005.pdf,ground_truth/HDFC/HDFC_005.json,50,75051.01,38713.84,separate_dr_cr
HDFC_006,HDFC,pdfs/HDFC/HDFC_006.pdf,ground_truth/HDFC/HDFC_006.json,39,55259.89,48820.5,separate_dr_cr
HDFC_007,HDFC,pdfs/HDFC/HDFC_007.pdf,ground_truth/HDFC/HDFC_007.json,36,129111.21,100802.2,separate_dr_cr
HDFC_008,HDFC,pdfs/HDFC/HDFC_008.pdf,ground_truth/HDFC/HDFC_008.json,53,80374.45,765.48,separate_dr_cr
HDFC_009,HDFC,pdfs/HDFC/HDFC_009.pdf,ground_truth/HDFC/HDFC_009.json,56,31127.9,-9919.94,separate_dr_cr
HDFC_010,HDFC,pdfs/HDFC/HDFC_010.pdf,ground_truth/HDFC/HDFC_010.json,40,102295.79,36130.84,separate_dr_cr
HDFC_011,HDFC,pdfs/HDFC/HDFC_011.pdf,ground_truth/HDFC/HDFC_011.json,26,58203.51,34794.73,separate_dr_cr
HDFC_012,HDFC,pdfs/HDFC/HDFC_012.pdf,ground_truth/HDFC/HDFC_012.json,34,54079.02,47626.04,separate_dr_cr
HDFC_013,HDFC,pdfs/HDFC/HDFC_013.pdf,ground_truth/HDFC/HDFC_013.json,41,136301.48,120048.89,separate_dr_cr
HDFC_014,HDFC,pdfs/HDFC/HDFC_014.pdf,ground_truth/HDFC/HDFC_014.json,40,79753.42,502.71,separate_dr_cr
HDFC_015,HDFC,pdfs/HDFC/HDFC_015.pdf,ground_truth/HDFC/HDFC_015.json,44,20045.23,8599.35,separate_dr_cr
ICICI_001,ICICI,pdfs/ICICI/ICICI_001.pdf,ground_truth/ICICI/ICICI_001.json,49,57900.85,20944.32,separate_dr_cr
ICICI_002,ICICI,pdfs/ICICI/ICICI_002.pdf,ground_truth/ICICI/ICICI_002.json,52,74790.78,7772.65,separate_dr_cr
ICICI_003,ICICI,pdfs/ICICI/ICICI_003.pdf,ground_truth/ICICI/ICICI_003.json,50,62126.1,3335.6,separate_dr_cr
ICICI_004,ICICI,pdfs/ICICI/ICICI_004.pdf,ground_truth/ICICI/ICICI_004.json,38,9968.02,-5624.75,separate_dr_cr
ICICI_005,ICICI,pdfs/ICICI/ICICI_005.pdf,ground_truth/ICICI/ICICI_005.json,54,21341.44,5853.1,separate_dr_cr
ICICI_006,ICICI,pdfs/ICICI/ICICI_006.pdf,ground_truth/ICICI/ICICI_006.json,36,82012.27,87165.83,separate_dr_cr
ICICI_007,ICICI,pdfs/ICICI/ICICI_007.pdf,ground_truth/ICICI/ICICI_007.json,48,24201.26,11619.71,separate_dr_cr
ICICI_008,ICICI,pdfs/ICICI/ICICI_008.pdf,ground_truth/ICICI/ICICI_008.json,53,75841.53,38923.79,separate_dr_cr
ICICI_009,ICICI,pdfs/ICICI/ICICI_009.pdf,ground_truth/ICICI/ICICI_009.json,55,120572.48,46698.88,separate_dr_cr
ICICI_010,ICICI,pdfs/ICICI/ICICI_010.pdf,ground_truth/ICICI/ICICI_010.json,27,35427.33,52102.08,separate_dr_cr
ICICI_011,ICICI,pdfs/ICICI/ICICI_011.pdf,ground_truth/ICICI/ICICI_011.json,55,8708.95,-92437.35,separate_dr_cr
ICICI_012,ICICI,pdfs/ICICI/ICICI_012.pdf,ground_truth/ICICI/ICICI_012.json,30,7942.16,-5751.52,separate_dr_cr
ICICI_013,ICICI,pdfs/ICICI/ICICI_013.pdf,ground_truth/ICICI/ICICI_013.json,50,72077.25,8294.75,separate_dr_cr
ICICI_014,ICICI,pdfs/ICICI/ICICI_014.pdf,ground_truth/ICICI/ICICI_014.json,58,92643.39,11428.4,separate_dr_cr
ICICI_015,ICICI,pdfs/ICICI/ICICI_015.pdf,ground_truth/ICICI/ICICI_015.json,52,143893.49,119740.62,separate_dr_cr
SBI_001,SBI,pdfs/SBI/SBI_001.pdf,ground_truth/SBI/SBI_001.json,60,106631.81,8671.19,single_amount_suffix
SBI_002,SBI,pdfs/SBI/SBI_002.pdf,ground_truth/SBI/SBI_002.json,59,61076.36,-47455.16,single_amount_suffix
SBI_003,SBI,pdfs/SBI/SBI_003.pdf,ground_truth/SBI/SBI_003.json,38,143994.95,140139.34,single_amount_suffix
